Breed Name,Rarity,Dairy,Hump,Mini,Horns,Fluffy,Special,Hybrid,Main Color,Pattern,Secondary Color,Primary US Region,Special Location
Murray Grey,4,,,,,,,,silver-grey,solid,,"West,Nationwide",
Nelore,4,,Yes,,,,,,white/light grey,solid,white/light grey,"Texas,Gulf Coast",Specialty Farm
Normande,5,Dual,,,,,,,white/brown,spotted/speckled,white/brown,Midwest,Specialty Farm
Panda Cow,5,,,Yes,,Very Fluffy,,,black/white,belted/white face,black/white,Nationwide,Rare Specialty Farm
Parthenais,5,,Yes,,,,Very muscular,,golden-brown,ombre,black,Nationwide,Specialty Farm
Piedmontese,4,,,,,,Very muscular,,white/grey,points,grey/black,"Midwest,Great Plains",Specialty Farm
Pineywoods,5,Dual,,,,,,,various,"spotted,roan,lineback",various,"Deep South,Gulf Coast",Specialty Farm
Pinzgauer,4,Dual,,,,,,,chestnut brown,,,Nationwide,Specialty Farm
Procross,3,Dairy,,,,,,Holstein / Montbeliarde / Norwegian Red,various,"spotted,roan",,Dairy States (CA/WI/NY),
Randall Lineback,5,Dual,,,,,,,black/blue/white,lineback,white,New England,Rare Specialty Farm
Raramuri Criollo,5,,,,,,,,various,"roan,spotted",various,Southwest,Specialty Farm
Red And White Holstein,3,Dairy,,,,,,,red/white,spotted,red/white,Nationwide,
Red Angus,1,,,,,,,,red,solid,,"Great Plains,Nationwide",
Red Baldy,2,,,,,Fluffy Head,,Red Angus / Hereford,red,white face,white,"Great Plains,West",
Red Brangus,3,,Slight,,,,,Brahman / Red Angus,red,solid,,"South,Gulf Coast,Texas",
Red Poll,4,Dual,,,,,,,deep red,solid,,Nationwide,Specialty Farm
Romagnola,5,,,,,,,,white,points,black,"Plains,South",Specialty Farm
Salers,4,Some Dual,,,,Thick Coat,,,"deep red,black",solid,,"Rockies,Northern Plains",
Santa Gertrudis,2,,Slight,,,,,Brahman / Shorthorn,cherry red,solid,,"Texas,South,Gulf Coast",
Senepol,4,,,,,Shiny Coat,,,light red,solid,,"South,Florida,Puerto Rico",
Shorthorn,2,,,,,,,,red/white,roan,red/white,"Midwest,Great Plains",
Simangus,2,,,,,,,Simmental / Angus,"black,red",solid,,"Great Plains,Midwest",
Simbrah,3,,Slight,,,,,Simmental / Brahman,"red,yellow,white,black","solid,spotted","red,yellow,white","South,Gulf Coast,Texas",
Simmental,1,Some Dual,,,,Fluffy Head,,,"red,yellow,white,black","solid,spotted","red,yellow,white","Great Plains,Midwest",
Smokey / Charolais Cross,2,,,,,,,Charolais / Angus,mouse-grey,solid,,"South,Midwest,Great Plains",
South Devon,4,Dual,,,,Thick Coat,,,light red,solid,,"Great Plains,Nationwide",
Speckle Park,3,,,,,,,,white,speckled,black,Nationwide,
Stabiliser,4,,,,,,,,"red,black",solid,,"Great Plains,West",
Super Baldy,3,,Slight,,,Fluffy Head,,Brangus / Hereford,black,white face,white,"West,Great Plains",
Sussex,5,,,,,,,,dark red,solid,,"South,Nationwide",Specialty Farm
Tarentaise,5,Dual,,,,,,,fawn,"points,solid",black,"Rockies,Great Plains",Specialty Farm
Texas Longhorn,3,,,,Big,,Very long horns,,various,"speckled,spotted",various,"Texas,Southwest,Nationwide",Hobby/Show
Tiger Stripe,2,,Slight,,,,,Brahman / Hereford,red/black/dun,brindle,red/black/dun,"Texas,Gulf Coast,South",
Tuli,5,,Yes,,,,,,"yellow,golden,red",solid,,South,Specialty Farm
Wagyu (Japanese Black),4,,,,,,,,black,solid,,Nationwide,Specialty Farm
Welsh Black,5,Dual,,,,Thick Coat,,,black,solid,,Nationwide,Specialty Farm
