Breed Name,Rarity,Dairy,Hump,Fluffy,Special_Detailed,Special,Hybrid,Main Color,Pattern,Secondary Color,Primary US Region,Special Location,Alt Name,Image URL,Wikipedia URL
Devon,4,,,,,,,red,solid,,Nationwide,Specialty Farm,,/images/breeds/devon.jpg,https://en.wikipedia.org/wiki/North_Devon_cattle
Dexter,3,Some Dairy,,,Short legs,Small Body,,"black,red,dun",solid,,Nationwide,Specialty Farm,,/images/breeds/dexter.JPG,https://en.wikipedia.org/wiki/Dexter_cattle
Dutch Belted,5,Dairy,,,,,,black/white,belted,white,"Midwest,Northeast",Specialty Farm,Lakenvelder,/images/breeds/dutch-belted.jpg,https://en.wikipedia.org/wiki/Lakenvelder_cattle
English Longhorn,5,,,,Long downturned horns,Large Horns,,red/brown,lineback,white,Nationwide,Rare Specialty Farm,,/images/breeds/english-longhorn.jpg,https://en.wikipedia.org/wiki/English_Longhorn
Fleckvieh,4,Some Dairy,,Fluffy Head,,,,red/blonde,spotted,white,"Midwest,Great Plains",,,/images/breeds/fleckvieh.JPG,https://en.wikipedia.org/wiki/Fleckvieh
Florida Cracker,5,,,,,,,various,roan/spotted,various,"Florida,Deep South",Specialty Farm,,/images/breeds/florida-cracker.JPG,https://en.wikipedia.org/wiki/Florida_Cracker_cattle
Galloway,4,,,Very Fluffy,,,,"black,red,dun",solid,,"Northern Plains,Rockies",,,/images/breeds/galloway.jpg,https://en.wikipedia.org/wiki/Galloway_cattle
Gascon,5,,,,,,,grey,solid,,Nationwide,Specialty Farm,Gasconne,/images/breeds/gascon.JPG,https://en.wikipedia.org/wiki/Gasconne
Gelbray,4,,Slight Hump,,,,Gebvieh / Brahman,golden-red,solid,,"South,Gulf Coast",,,/images/breeds/gelbray.jpg,https://breeds.okstate.edu/cattle/gelbray-cattle
Gelbvieh,2,Few Dairy,,,,,,"golden-red, black",solid,,"Great Plains,Midwest",,,/images/breeds/gelbvieh.jpg,https://en.wikipedia.org/wiki/Gelbvieh
Guernsey,3,Dairy,,,,,,"white,fawn",spotted,"white,fawn","Upper Midwest,Northeast",,,/images/breeds/guernsey.jpg,https://en.wikipedia.org/wiki/Guernsey_cattle
Guzerá,5,,Hump,,Droopy ears,Droopy ears,,grey,ombre,blue,"Texas,Deep South",Specialty Farm,,/images/breeds/guzer.jpg,https://en.wikipedia.org/wiki/Guzer%C3%A1
Gyr / Gir,5,Some Dairy,,,Long droopy ears,Droopy ears,,red/white,speckled,red/white,"Texas,Deep South",Specialty Farm,,/images/breeds/gyr-gir.jpg,https://en.wikipedia.org/wiki/Gyr_cattle
Hereford,1,,,Fluffy Head,,,,red,white face + neck,white,"Nationwide,West,Great Plains",,,/images/breeds/hereford.jpg,https://en.wikipedia.org/wiki/Hereford_cattle
Highland,3,,,Very Fluffy,,,,"red,dun,black",solid,,"Northern US,Nationwide",Hobby/Show,,/images/breeds/highland.jpg,https://en.wikipedia.org/wiki/Highland_cattle
HoJo,3,Dairy,,,,,Holstein / Jersey,black/white,spotted,black/white,Dairy States (CA/WI/NY),,KiwiCross,/images/breeds/hojo.jpg,"https://www.lic.co.nz/products-and-services/artificial-breeding/crossbreeding-kiwicross/#:~:text=KiwiCross%20bulls%20take%20the%20guesswork,the%20best%20of%20both%20breeds."
Holstein Friesian,1,Dairy,,,,,,black/white,spotted,black/white,Nationwide,,,/images/breeds/holstein-friesian.jpg,https://en.wikipedia.org/wiki/Holstein_Friesian
Indo-Brazilian,5,,Hump,,Very long droopy ears,Droopy ears,,white/light grey,ombre,white/light grey,"South,Texas",Specialty Farm,Indu-Brasil,/images/breeds/indo-brazilian.jpg,https://en.wikipedia.org/wiki/Indu-Brasil
Jersey,2,Dairy,,,,,,fawn/light brown,points,white/light brown,Nationwide,,,/images/breeds/jersey.jpg,https://en.wikipedia.org/wiki/Jersey_cattle
Kerry,5,Dairy,,,,,,black,solid,,Nationwide,Rare Specialty Farm,,/images/breeds/kerry.jpg,https://en.wikipedia.org/wiki/Kerry_cattle
Lim-Flex,2,,,,,,Limousin / Angus,"red,black",solid,,"Great Plains,Midwest",,,/images/breeds/lim-flex.jpg,https://www.limousin.com.au/about-the-breed/lim-flex
Limousin,2,,,,,,,"golden-red,black",solid,,"Great Plains,Nationwide",,,/images/breeds/limousin.jpg,https://en.wikipedia.org/wiki/Limousin_cattle
Lincoln Red,5,,,,,,,cherry red,solid,,Nationwide,Specialty Farm,,/images/breeds/lincoln-red.jpg,https://en.wikipedia.org/wiki/Lincoln_Red
Luing,5,,,Very Fluffy,,,,"red,dun",solid,,"Northern Rockies,Northwest",Specialty Farm,,/images/breeds/luing.jpg,https://en.wikipedia.org/wiki/Luing_cattle
Maine-Anjou,4,Few Dairy,,,,,,red/white,spotted,red/white,"Midwest,Great Plains",,,/images/breeds/maine-anjou.jpg,https://en.wikipedia.org/wiki/Maine-Anjou
Mainetainer,4,,,,,,Maine Anjou / Angus,"black,red",solid,,"Midwest,Great Plains",Specialty Farm,,/images/breeds/mainetainer.jpg,https://maine-anjou.org/
Marchigiana,5,,,,,,,white,points,black,Nationwide,Specialty Farm,,/images/breeds/marchigiana.jpg,https://en.wikipedia.org/wiki/Marchigiana
Mashona,5,,,,,,,"black,red",solid,,"South,Texas",Specialty Farm,,/images/breeds/mashona.jpg,
Milking Shorthorn,3,Some Dairy,,,,,,"red,white","solid,roan","red,white","Northeast,Midwest",,,/images/breeds/milking-shorthorn.JPG,https://en.wikipedia.org/wiki/Milking_Shorthorn_(North_America)
Miniature Texas Longhorn,4,,,,"Very long horns,Mini",Large Horns,,various,"spotted,speckled",various,Nationwide,Specialty Farm,,/images/breeds/miniature-texas-longhorn.jpg,https://en.wikipedia.org/wiki/Miniature_cattle
Miniature Zebu,5,,Hump,,Mini,Small Body,,"grey,fawn","ombre,speckled","grey,fawn","South,Nationwide",Specialty Farm,,/images/breeds/miniature-zebu.jpg,https://en.wikipedia.org/wiki/Miniature_Zebu
Montbéliarde,4,Some Dairy,,,,,,red/white,spotted,red/white,Midwest,,,/images/breeds/montb-liarde.jpg,https://en.wikipedia.org/wiki/Montb%C3%A9liarde
Murray Grey,4,,,,,,,silver-grey,solid,,"West,Nationwide",,,/images/breeds/murray-grey.JPG,https://en.wikipedia.org/wiki/Murray_Grey
Nelore,4,,Hump,,,,,white/light grey,solid,white/light grey,"Texas,Gulf Coast",Specialty Farm,,/images/breeds/nelore.jpg,https://en.wikipedia.org/wiki/Nelore
Normande,5,Some Dairy,,,,,,white/brown,spotted/speckled,white/brown,Midwest,Specialty Farm,,/images/breeds/normande.jpg,https://en.wikipedia.org/wiki/Normande
Panda Cow,5,,,Very Fluffy,Mini,Small Body,,black/white,belted/white face,black/white,Nationwide,Rare Specialty Farm,,/images/breeds/panda-cow.jpg,https://en.wikipedia.org/wiki/Miniature_cattle
Parthenais,5,,Hump,,Very muscular,Very muscular,,golden-brown,ombre,black,Nationwide,Specialty Farm,,/images/breeds/parthenais.jpg,https://en.wikipedia.org/wiki/Parthenaise
Piedmontese,4,,,,Very muscular,Very muscular,,white/grey,points,grey/black,"Midwest,Great Plains",Specialty Farm,,/images/breeds/piedmontese.JPG,https://en.wikipedia.org/wiki/Piedmontese_cattle
Pineywoods,5,Some Dairy,,,,,,various,"spotted,roan,lineback",various,"Deep South,Gulf Coast",Specialty Farm,,/images/breeds/pineywoods.jpeg,https://en.wikipedia.org/wiki/Pineywoods_cattle
Pinzgauer,4,Some Dairy,,,,,,chestnut brown,,,Nationwide,Specialty Farm,,/images/breeds/pinzgauer.JPG,https://en.wikipedia.org/wiki/Pinzgauer_cattle
Procross,3,Dairy,,,,,Holstein / Montbeliarde / Norwegian Red,various,"spotted,roan",,Dairy States (CA/WI/NY),,,/images/breeds/procross.jpg,https://www.procross.info/
Randall Lineback,5,Some Dairy,,,,,,black/blue/white,lineback,white,New England,Rare Specialty Farm,,/images/breeds/randall-lineback.jpg,https://en.wikipedia.org/wiki/Randall_Lineback
Raramuri Criollo,5,,,,,,,various,"roan,spotted",various,Southwest,Specialty Farm,,/images/breeds/raramuri-criollo.jpg,https://en.wikipedia.org/wiki/Raramuri_Criollo
Red And White Holstein,3,Dairy,,,,,,red/white,spotted,red/white,Nationwide,,,/images/breeds/red-and-white-holstein.jpg,https://en.wikipedia.org/wiki/Holstein_Friesian#Red_and_white_Holsteins
Red Angus,1,,,,,,,red,solid,,"Great Plains,Nationwide",,,/images/breeds/red-angus.jpg,https://en.wikipedia.org/wiki/Red_Angus
Red Baldy,2,,,Fluffy Head,,,Red Angus / Hereford,red,white face,white,"Great Plains,West",,,/images/breeds/red-baldy.jpg,https://hereford.org/commercial/programs/premium-red-baldy/
Red Brangus,3,,Slight Hump,,,,Brahman / Red Angus,red,solid,,"South,Gulf Coast,Texas",,,/images/breeds/red-brangus.png,https://en.wikipedia.org/wiki/Red_Brangus
Red Poll,4,Some Dairy,,,,,,deep red,solid,,Nationwide,Specialty Farm,,/images/breeds/red-poll.JPG,https://en.wikipedia.org/wiki/Red_Poll
Romagnola,5,,,,,,,white,points,black,"Plains,South",Specialty Farm,,/images/breeds/romagnola.jpg,https://en.wikipedia.org/wiki/Romagnola
Salers,4,Few Dairy,,Thick Coat,,,,"deep red,black",solid,,"Rockies,Northern Plains",,,/images/breeds/salers.jpg,https://en.wikipedia.org/wiki/Salers_cattle
Santa Gertrudis,2,,Slight Hump,,,,Brahman / Shorthorn,cherry red,solid,,"Texas,South,Gulf Coast",,,/images/breeds/santa-gertrudis.jpg,https://en.wikipedia.org/wiki/Santa_Gertrudis_cattle
Senepol,4,,,,Shiny Coat,Shiny Coat,,light red,solid,,"South,Florida,Puerto Rico",,,/images/breeds/senepol.jpg,https://en.wikipedia.org/wiki/Senepol
Shorthorn,2,,,,,,,red/white,roan,red/white,"Midwest,Great Plains",,,/images/breeds/shorthorn.jpg,https://en.wikipedia.org/wiki/Shorthorn
Simangus,2,,,,,,Simmental / Angus,"black,red",solid,,"Great Plains,Midwest",,,/images/breeds/simangus.jpg,https://www.simmental.org/site/index.php/simmental-cattle-breeder-resource/simgenetics
Simbrah,3,,Slight Hump,,,,Simmental / Brahman,"red,yellow,white,black","solid,spotted","red,yellow,white","South,Gulf Coast,Texas",,,/images/breeds/simbrah.jpg,https://breeds.okstate.edu/cattle/simbrah-sattle
Simmental,1,Few Dairy,,Fluffy Head,,,,"red,yellow,white,black","solid,spotted","red,yellow,white","Great Plains,Midwest",,,/images/breeds/simmental.jpg,https://en.wikipedia.org/wiki/Simmental_cattle
Smokey,2,,,,,,Charolais / Angus,mouse-grey,solid,,"South,Midwest,Great Plains",,Charolais Cross,/images/breeds/smokey.jpg,
South Devon,4,Some Dairy,,Thick Coat,,,,light red,solid,,"Great Plains,Nationwide",,,/images/breeds/south-devon.JPG,https://en.wikipedia.org/wiki/South_Devon_cattle
Speckle Park,3,,,,,,,white,speckled,black,Nationwide,,,/images/breeds/speckle-park.JPG,https://en.wikipedia.org/wiki/Speckle_Park
Stabiliser,4,,,,,,,"red,black",solid,,"Great Plains,West",,,/images/breeds/stabiliser.jpg,https://leachman.com/leachman-stabilizer/
Super Baldy,3,,Slight Hump,Fluffy Head,,,Brangus / Hereford,black,white face,white,"West,Great Plains",,,/images/breeds/super-baldy.jpg,
Sussex,5,,,,,,,dark red,solid,,"South,Nationwide",Specialty Farm,,/images/breeds/sussex.JPG,https://en.wikipedia.org/wiki/Sussex_cattle
Tarentaise,5,Some Dairy,,,,,,fawn,"points,solid",black,"Rockies,Great Plains",Specialty Farm,,/images/breeds/tarentaise.jpg,https://en.wikipedia.org/wiki/Tarentaise_cattle
Texas Longhorn,3,,,,Very long horns,Large Horns,,various,"speckled,spotted",various,"Texas,Southwest,Nationwide",Hobby/Show,,/images/breeds/texas-longhorn.jpg,https://en.wikipedia.org/wiki/Texas_Longhorn
Tiger Stripe,2,,Slight Hump,,,,Brahman / Hereford,red/black/dun,brindle,red/black/dun,"Texas,Gulf Coast,South",,,/images/breeds/tiger-stripe.jpg,
Tuli,5,,Hump,,,,,"yellow,golden,red",solid,,South,Specialty Farm,,/images/breeds/tuli.jpg,https://en.wikipedia.org/wiki/Tuli_cattle
Wagyu,4,,,,,,,black,solid,,Nationwide,Specialty Farm,Japanese Black,/images/breeds/wagyu.jpg,https://en.wikipedia.org/wiki/Wagyu
Welsh Black,5,Some Dairy,,Thick Coat,,,,black,solid,,Nationwide,Specialty Farm,,/images/breeds/welsh-black.jpg,https://en.wikipedia.org/wiki/Welsh_Black_cattle
